,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind Speed
84,Salalah,1,OM,1578367740,78,17.01,54.1,23.0,1.5
85,Biga,75,TR,1578367740,93,40.23,27.24,6.0,13.9
86,Esperance,0,AU,1578367551,9,-33.86,121.89,39.0,7.7
87,Hobart,75,AU,1578367510,63,-42.88,147.33,22.22,6.2
88,Charlestown,1,US,1578367740,59,41.38,-71.64,4.0,4.21
89,Ippy,86,CF,1578367740,40,6.26,21.2,19.94,1.62
90,Saint George,20,GR,1578367740,69,39.45,22.34,2.78,3.6
91,Yazman,0,SY,1578367740,90,36.74,38.46,6.08,7.63
92,Christchurch,50,NZ,1578367740,48,-43.53,172.64,18.33,8.7
93,Okhotsk,0,RU,1578367740,78,59.36,143.24,-20.29,5.6
94,Santiago de Cuba,20,CU,1578367740,69,20.03,-75.83,23.0,4.6
95,Shimoda,75,JP,1578367740,66,34.7,138.93,11.11,7.2
96,Hirara,20,JP,1578367741,65,24.8,125.28,26.0,6.7
97,Chokurdakh,0,RU,1578367741,95,70.62,147.9,-30.26,1.46
98,San Cristobal,100,HN,1578367741,96,14.68,-86.92,16.07,1.51
99,Chernaya Kholunitsa,73,RU,1578367741,97,58.85,51.72,-15.54,2.12
100,Kiunga,55,PG,1578367741,47,-6.12,141.3,35.7,0.97
101,Tambo,95,PE,1578367741,88,-12.95,-74.02,9.06,2.07
102,Port Hardy,90,CA,1578367544,86,50.7,-127.42,5.0,4.6
103,Clarence Town,77,AU,1578367741,62,-32.59,151.78,31.11,2.1
104,Talnakh,40,RU,1578367668,85,69.49,88.39,-12.0,10.0
105,Hermanus,99,ZA,1578367741,82,-34.42,19.24,18.89,4.92
106,Takaka,83,NZ,1578367741,63,-40.86,172.81,19.44,4.02
107,Mildura,0,AU,1578367741,25,-34.18,142.16,31.0,4.6
108,Pozo Colorado,100,PY,1578367742,92,-23.49,-58.8,24.24,2.58
109,Saint-Philippe,90,CA,1578367510,92,45.36,-73.48,-3.89,1.0
110,Mpika,100,ZM,1578367742,90,-11.84,31.4,16.26,1.41
